Comunicacao_BN,Comunicacao_SEM,Coordenacao_BN,Coordenacao_SEM,Coesao_BN,Coesao_SEM
"0,84","0,77","0,84","0,81","0,65","0,78"
"0,88","0,78","0,79","0,75","0,66","0,82"
"0,71","0,79","0,75","0,75","0,65","0,79"
"0,88","0,76","0,85","0,76","0,6","0,83"
"0,88","0,75","0,74","0,7","0,66","0,79"
"0,79","0,75","0,73","0,73","0,68","0,73"
"0,76","0,74","0,72","0,68","0,64","0,74"
"0,82","0,83","0,79","0,79","0,67","0,79"
"0,82","0,7","0,76","0,66","0,56","0,75"
"0,82","0,77","0,69","0,71","0,58","0,79"
"0,83","0,75","0,67","0,79","0,56","0,77"
"0,86","0,74","0,81","0,81","0,74","0,76"
"0,83","0,73","0,75","0,72","0,57","0,75"
"0,62","0,72","0,65","0,73","0,52","0,73"
"0,85","0,8","0,75","0,79","0,6","0,77"
"0,83","0,78","0,8","0,73","0,7","0,82"
"0,85","0,83","0,81","0,76","0,68","0,83"
"0,88","0,73","0,74","0,72","0,7","0,78"
"0,79","0,71","0,7","0,69","0,56","0,74"
"0,79","0,76","0,68","0,75","0,66","0,77"
"0,88","0,79","0,78","0,81","0,62","0,77"
"0,82","0,77","0,77","0,75","0,69","0,82"
"0,88","0,79","0,81","0,77","0,66","0,77"
"0,86","0,78","0,77","0,76","0,68","0,83"
"0,85","0,79","0,75","0,76","0,56","0,77"
