Comunicacao,Coordenacao,Coesao,Orientação BN / Esforço SEM,Auto-gerenciamento_BN / Balanço de contribuição_SEM,Colaboração_BN / Suporte_SEM,Orientação BN / Balanço de contribuição_SEM,Colaboração_BN / Esforço_SEM
0,1,1,1,1,0,1,1
0,1,0,1,1,0,1,1
1,1,1,1,1,0,1,1
0,0,0,1,1,0,1,1
0,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1
0,1,0,1,0,0,1,1
0,1,0,1,1,0,1,1
0,1,0,1,1,0,1,0
0,1,1,1,1,0,1,1
0,1,0,0,1,0,0,0
1,1,0,0,0,0,0,0
1,1,1,1,1,0,1,1
0,0,0,1,1,0,1,1
1,0,0,1,1,0,1,1
0,1,1,0,1,0,0,1
1,1,0,1,0,0,1,0
1,1,1,1,1,0,1,1
0,0,1,1,1,0,1,1
0,1,0,1,1,0,1,1
0,0,1,1,1,0,1,1
0,1,1,1,1,0,1,1
0,1,0,0,1,0,0,0
